country,company_name,stock_code,matched_name,mapping_status,mapping_score,mapping_source,verification_basis,event_rows
TAIWAN,LEE CHANG YUNG CHEM IND,1704,LCY Chemical Corp. / 李長榮化學,verified_tw_current_round7b,0.99,Round7b Manual high-confidence: LCY Chemical Corp. is TWSE 1704; MSCI abbreviation Lee Chang Yung Chem Ind.,manual_high_confidence_common_reference,3
TAIWAN,NAN KANG RUBBER TIRE CO,2101,"Nankang Rubber Tire Corp.,Ltd.",verified_tw_current_round7b,0.9744,"Round7b variant current-code discovery: Yahoo Finance search matched `Nankang Rubber Tire Corp.,Ltd.`/2101.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: NK | 南港 | 南港輪胎股份有限公司",variant_yahoo_name_match_plus_official_current_code_universe,3
TAIWAN,ASIA PACIFIC TELECOM CO,3682,"Asia Pacific Telecom Co., Ltd. / 亞太電信",verified_tw_historical_round7b,0.99,Round7b Manual high-confidence: TWSE delisted data lists 3682 亞太電; MSCI name Asia Pacific Telecom Co.,manual_high_confidence_common_reference,3
TAIWAN,CHUNGHWA PICTURE TUBES,2475,"Chunghwa Picture Tubes, Ltd. / 中華映管",verified_tw_historical_round7b,0.99,Round7b Manual high-confidence: historical TWSE ticker 2475 for Chunghwa Picture Tubes; delisted.,manual_high_confidence_common_reference,3
TAIWAN,TAIWAN GLASS INDL CORP,1802,Taiwan Glass Ind. Corp.,verified_tw_current_round7b,1.0000,Round7b variant current-code discovery: Yahoo Finance search matched `Taiwan Glass Ind. Corp.`/1802.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: TGI | 台灣玻璃工業股份有限公司 | 台玻,variant_yahoo_name_match_plus_official_current_code_universe,2
TAIWAN,YUFO ELECTRONIC CORP,6194,"Yufo Electronics Co., Ltd.",verified_tw_current_round7b,1.0000,"Round7b variant current-code discovery: Yahoo Finance search matched `Yufo Electronics Co., Ltd.`/6194.TWO; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: YUFO | 育富 | 育富電子股份有限公司",variant_yahoo_name_match_plus_official_current_code_universe,1
