country,company_name,stock_code,matched_name,mapping_status,mapping_score,mapping_source,verification_basis,event_rows
TAIWAN,FAR EAST DEPT STORES,2903,"Far Eastern Department Stores, Ltd. / 遠東百貨",verified_tw_yahoo_google_round8,0.99,Round8 Yahoo Finance/Google query: Far Eastern Department Stores Taiwan stock -> 2903.TW,yahoo_google_manual_seed,2
TAIWAN,FORMOSA INTL HOTELS,2707,Formosa International Hotels Corporation / 晶華,verified_tw_yahoo_google_round8,0.99,Round8 Yahoo Finance query: Formosa International Hotels -> 2707.TW,yahoo_google_manual_seed,2
TAIWAN,SINOAMERICAN SILICON PRO,5483,Sino-American Silicon Products Inc. / 中美晶,verified_tw_yahoo_google_round8,0.99,Round8 Yahoo Finance query: Sino American Silicon Products -> 5483.TWO,yahoo_google_manual_seed,5
TAIWAN,CHINESE GAMER INT'L,3083,Chinese Gamer International Corporation / 網龍,verified_tw_yahoo_google_round8,0.99,Round8 Yahoo Finance query: Chinese Gamer International -> 3083.TWO,yahoo_google_manual_seed,3
TAIWAN,INTL GAMES SYSTEM C,3293,"International Games System Co., Ltd. / 鈊象",verified_tw_yahoo_google_round8,0.99,Round8 Yahoo Finance query: International Games System -> 3293.TWO,yahoo_google_manual_seed,6
TAIWAN,AMBASSADOR HOTEL (THE),2704,"The Ambassador Hotel, Ltd. / 國賓",verified_tw_yahoo_google_round8,0.99,Round8 Yahoo Finance query: Ambassador Hotel Taiwan -> 2704.TW,yahoo_google_manual_seed,2
TAIWAN,DEPO AUTO PARTS INDL CO,6605,"Depo Auto Parts Industrial Co., Ltd. / 帝寶",verified_tw_yahoo_google_round8,0.99,Round8 Yahoo Finance query: Depo Auto Parts Industrial -> 6605.TW,yahoo_google_manual_seed,2
TAIWAN,SUNONWEALTH ELEC MACHINE,2421,"Sunonwealth Electric Machine Industry Co., Ltd. / 建準",verified_tw_yahoo_google_round8,0.99,Round8 Yahoo Finance query: Sunonwealth Electric Machine -> 2421.TW,yahoo_google_manual_seed,3
TAIWAN,A.G.V. PRODUCTS,1217,A.G.V. Products Corporation / 愛之味,verified_tw_yahoo_google_round8,0.99,Round8 Yahoo Finance/Google query: A.G.V. Products Taiwan stock -> 1217.TW,yahoo_google_manual_seed,2
TAIWAN,ORISE TECHNOLOGY CO,3545,"Orise Technology Co., Ltd. / 奕力",verified_tw_historical_round8,0.99,Round8 Yahoo/Google historical quote: Orise Technology 3545.TW; delisted/merged,yahoo_google_manual_seed,2
