country,company_name,stock_code,matched_name,mapping_source,mapping_score,mapping_status
TAIWAN,UNITED RENEWABLE ENERGY,3576,"United Renewable Energy Co., Ltd.","Round7 current-code discovery: Yahoo Finance search matched `United Renewable Energy Co., Ltd.`/3576.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: URE | 聯合再生 | 聯合再生能源股份有限公司",1.0000,verified_tw_current_round7
TAIWAN,ZYXEL GROUP CORP,3704,Zyxel Group,FinLab company_basic_info:英文簡稱,1.0,mapped_exact_normalized
USA,AMERICAN PUBLIC EDU,,,,0.0,needs_review
USA,ARTERIS,AIP,"Arteris, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,BEL FUSE A,BELFA,Bel Fuse Inc. - Class A Common Stock,NasdaqTrader nasdaqlisted,1.0,mapped_exact_normalized
USA,BETA TECHNOLOGIES,BETA,"BETA Technologies, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,BOB'S DISCOUNT FURN,,,,0.0,needs_review
USA,CHIME FINANCIAL A,CHYM,"Chime Financial, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CNB FINANCIAL CORP,CCNE,CNB Financial Corporation - Common Stock,NasdaqTrader nasdaqlisted,1.0,mapped_exact_normalized
USA,CORVUS PHARMACEUTICALS,CRVS,"Corvus Pharmaceuticals, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,DAMORA THERAPEUTICS,DMRA,"Damora Therapeutics, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,EQUIPMENTSHARE.COM A,EQPT,EquipmentShare.com Inc,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,EVOMMUNE,EVMN,"Evommune, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,FIGMA A,FIG,"Figma, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,FIGURE TECH SOLUTIONS A,,,,0.0,needs_review
USA,FLOWCO HOLDINGS A,FLOC,Flowco Holdings Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,FORGENT POWER SOLN A,,,,0.0,needs_review
USA,GRAHAM CORP,GHC,Graham Holdings Co,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,INFLEQTION,INFQ,"Infleqtion, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,JADE BIOSCIENCES,JBIO,"Jade Biosciences, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,LB PHARMACEUTICALS,LBRX,LB PHARMACEUTICALS INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,MAZE THERAPEUTICS,MAZE,"Maze Therapeutics, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,NATIONAL ENER SVCS,,,,0.0,needs_review
USA,NEWSMAX B,NMAX,Newsmax Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,OPPENHEIMER HOLDINGS A,OPY,OPPENHEIMER HOLDINGS INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,PATTERN GRP A,,,,0.0,needs_review
USA,SATELLOGIC A,SATL,Satellogic Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,SELLAS LIFE SCIENCES GRP,,,,0.0,needs_review
USA,SIONNA THERAPEUTICS,SION,"Sionna Therapeutics, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,SOLV ENERGY A,MWH,"SOLV Energy, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,TAMBORAN RESOURCES(US),TBN,Tamboran Resources Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,VERADERMICS,MANE,"Veradermics, Inc",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,VIA TRANSPORTATION A,VIA,"Via Transportation, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,WEALTHFRONT,WLTH,WEALTHFRONT CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,DOLE,DOLE,Dole plc,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,AH REALTY TRUST,AHRT,"AH Realty Trust, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,AMERICAN BATTERY TECH,,,,0.0,needs_review
USA,FUBOTV A,FUBO,FuboTV Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,FULGENT GENETICS,FLGT,"Fulgent Genetics, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
