country,company_name,stock_code,matched_name,mapping_source,mapping_score,mapping_status,is_verified_mapping,universe_match,universe_checked,backtest_ready_mapping
USA,WILLDAN GROUP,WLDN,"Willdan Group, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,XERIS BIOPHARMA HOLDINGS,XERS,"Xeris Biopharma Holdings, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ANTERIX,ATEX,Anterix Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,B&G FOODS,BGS,"B&G Foods, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,BIOVENTUS,BVS,Bioventus Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,BOSTON OMAHA A,BOC,BOSTON OMAHA Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,BUTTERFLY NETWORK A,BFLY,"Butterfly Network, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,CAPRICOR THERAPEUTICS,CAPR,"CAPRICOR THERAPEUTICS, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,CROSS COUNTRY HEALTHCARE,CCRN,CROSS COUNTRY HEALTHCARE INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,CYTEK BIOSCIENCES,CTKB,"Cytek Biosciences, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,FORTREA HOLDINGS,FTRE,Fortrea Holdings Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,JACK IN THE BOX,JACK,JACK IN THE BOX INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,JELD WEN HOLDING,JELD,"JELD-WEN Holding, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,KRONOS WORLDWIDE,KRO,KRONOS WORLDWIDE INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,MESA LABORATORIES,MLAB,MESA LABORATORIES INC /CO/,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,MONRO,MNRO,"MONRO, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ORTHOFIX MEDICAL,OFIX,Orthofix Medical Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ROCKET COMPANIES A,RKT,"Rocket Companies, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ROCKET PHARMACEUTICALS,RCKT,"ROCKET PHARMACEUTICALS, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,RXSIGHT,RXST,"RxSight, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,SAVARA,SVRA,Savara Inc,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,SELECTQUOTE,SLQT,"SelectQuote, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,SIMULATIONS PLUS,SLP,"Simulations Plus, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,SMITH & WESSON BRANDS,SWBI,"SMITH & WESSON BRANDS, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,WABASH NATIONAL CORP,WNC,WABASH NATIONAL Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,YORK WATER CO,YORW,YORK WATER CO,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ZIPRECRUITER A,ZIP,"ZIPRECRUITER, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
TAIWAN,ABLEPRINT TECHNOLOGY,7734,"AblePrint Technology Co., Ltd. / 印能科技",Round8b Company IR says MOPS stock code 7734; Yahoo Finance 7734.TWO / StockAnalysis TPEX:7734.,0.98,verified_tw_yahoo_google_round8b,true,true,FinLab/TWSE/TPEx ticker reference universe,true
TAIWAN,FIRST HI TEC ENTERPRISE,5439,"First Hi-tec Enterprise Co., Ltd.","Round7 current-code discovery: Yahoo Finance search matched `First Hi-tec Enterprise Co., Ltd.`/5439.TWO; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: FHt | 高技 | 高技企業股份有限公司",1.0000,verified_tw_current_round7,true,true,FinLab/TWSE/TPEx ticker reference universe,true
TAIWAN,FULLTECH FIBER GLASS,1815,Fulltech Fiber Glass Corp.,Round7 current-code discovery: Yahoo Finance search matched `Fulltech Fiber Glass Corp.`/1815.TWO; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: FFG | 富喬 | 富喬工業股份有限公司,1.0000,verified_tw_current_round7,true,true,FinLab/TWSE/TPEx ticker reference universe,true
TAIWAN,MEGA UNION TECHNOLOGY,6944,Mega Union,FinLab company_basic_info:英文簡稱,0.9376,verified_tw_reference_fuzzy,true,true,FinLab/TWSE/TPEx ticker reference universe,true
TAIWAN,WISELINK,8932,Wiselink,FinLab company_basic_info:英文簡稱,1.0,mapped_exact_normalized,true,true,FinLab/TWSE/TPEx ticker reference universe,true
TAIWAN,CHUNG HWA PULP CORP,4205,CHUNG HWA,FinLab company_basic_info:英文簡稱,0.9543,verified_tw_reference_fuzzy,true,true,FinLab/TWSE/TPEx ticker reference universe,true
USA,ALASKA AIR GROUP,ALK,"ALASKA AIR GROUP, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ARDELYX,ARDX,"ARDELYX, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ARHAUS A,ARHS,"Arhaus, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,BIOHAVEN,BHVN,Biohaven Ltd.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,BLUE BIRD (US),BLBD,Blue Bird Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
