ticker,name,exchange,source,norm
1301,台塑,sii,FinLab company_basic_info:公司簡稱,
1301,台灣塑膠工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1301,FPC,sii,FinLab company_basic_info:英文簡稱,FPC
1303,南亞,sii,FinLab company_basic_info:公司簡稱,
1303,南亞塑膠工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1303,NPC,sii,FinLab company_basic_info:英文簡稱,NPC
1304,台聚,sii,FinLab company_basic_info:公司簡稱,
1304,台灣聚合化學品股份有限公司,sii,FinLab company_basic_info:公司名稱,
1304,USI,sii,FinLab company_basic_info:英文簡稱,USI
1305,華夏,sii,FinLab company_basic_info:公司簡稱,
1305,華夏海灣塑膠股份有限公司,sii,FinLab company_basic_info:公司名稱,
1305,CGPC,sii,FinLab company_basic_info:英文簡稱,CGPC
1307,三芳,sii,FinLab company_basic_info:公司簡稱,
1307,三芳化學工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1307,SAN FANG,sii,FinLab company_basic_info:英文簡稱,SAN FANG
1308,亞聚,sii,FinLab company_basic_info:公司簡稱,
1308,亞洲聚合股份有限公司,sii,FinLab company_basic_info:公司名稱,
1308,APC,sii,FinLab company_basic_info:英文簡稱,APC
1309,台達化,sii,FinLab company_basic_info:公司簡稱,
1309,台達化學工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1309,TTC,sii,FinLab company_basic_info:英文簡稱,TTC
1310,台苯,sii,FinLab company_basic_info:公司簡稱,
1310,台灣苯乙烯工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1310,T.S.M.C.,sii,FinLab company_basic_info:英文簡稱,T S M
1312,國喬,sii,FinLab company_basic_info:公司簡稱,
1312,國喬石油化學股份有限公司,sii,FinLab company_basic_info:公司名稱,
1312,GPPC,sii,FinLab company_basic_info:英文簡稱,GPPC
1313,聯成,sii,FinLab company_basic_info:公司簡稱,
1313,聯成化學科技股份有限公司,sii,FinLab company_basic_info:公司名稱,
1313,UPC,sii,FinLab company_basic_info:英文簡稱,UPC
1314,中石化,sii,FinLab company_basic_info:公司簡稱,
1314,中國石油化學工業開發(股)公司,sii,FinLab company_basic_info:公司名稱,
1314,CPDC,sii,FinLab company_basic_info:英文簡稱,CPDC
1315,達新,sii,FinLab company_basic_info:公司簡稱,
1315,達新工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1315,TAH HSIN,sii,FinLab company_basic_info:英文簡稱,TAH HSIN
1316,上曜,sii,FinLab company_basic_info:公司簡稱,
1316,上曜建設開發股份有限公司,sii,FinLab company_basic_info:公司名稱,
1316,SUN YAD,sii,FinLab company_basic_info:英文簡稱,SUN YAD
1319,東陽,sii,FinLab company_basic_info:公司簡稱,
1319,東陽實業廠股份有限公司,sii,FinLab company_basic_info:公司名稱,
1319,TYG,sii,FinLab company_basic_info:英文簡稱,TYG
1321,大洋,sii,FinLab company_basic_info:公司簡稱,
1321,大洋塑膠工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
