country,company_name,stock_code,matched_name,mapping_source,mapping_score,mapping_status
USA,REPLIGEN CORP,RGEN,REPLIGEN CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,UIPATH A,PATH,"UiPath, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,UNITY SOFTWARE,U,Unity Software Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,AFFIRM HOLDINGS A,AFRM,"Affirm Holdings, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ROCKET LAB CORP,RKLB,Rocket Lab Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,SOFI TECHNOLOGIES,SOFI,"SoFi Technologies, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,TAPESTRY,TPR,"TAPESTRY, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,AVANTOR,AVTR,"Avantor, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CONAGRA BRANDS,CAG,CONAGRA BRANDS INC.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,LKQ CORP,LKQ,LKQ CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,THE CAMPBELL'S,CPB,CAMPBELL'S Co,SEC company_tickers_exchange,1.0,mapped_exact_normalized
TAIWAN,CALIWAY BIOPHARMA,,,,0.0,needs_review
TAIWAN,KING SLIDE WORKS CO,,,,0.0,needs_review
TAIWAN,POU CHEN CORP,,,,0.0,needs_review
TAIWAN,RUENTEX DEVELOPMENT CO,,,,0.0,needs_review
USA,ANNALY CAPITAL MGMT,,,,0.0,needs_review
USA,HENRY SCHEIN,HSIC,HENRY SCHEIN INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,NASDAQ STOCK MARKET,,,,0.0,needs_review
USA,AMBAC FINANCIAL GROUP,,,,0.0,needs_review
USA,E*TRADE GROUP,,,,0.0,needs_review
USA,MBIA,MBI,MBIA INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,PHARMACEUTICAL PRDCT DEV,,,,0.0,needs_review
USA,DELTA AIR LINES,DAL,"DELTA AIR LINES, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,DEVRY,,,,0.0,needs_review
USA,ITT EDUCATIONAL SERVICES,,,,0.0,needs_review
USA,MYLAN,,,,0.0,needs_review
USA,NORTHEAST UTILITIES,,,,0.0,needs_review
USA,NSTAR,,,,0.0,needs_review
USA,OMNICARE,,,,0.0,needs_review
USA,O'REILLY AUTOMOTIVE,ORLY,O REILLY AUTOMOTIVE INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,PUGET ENERGY,,,,0.0,needs_review
USA,AMERICAN CAPITAL,,,,0.0,needs_review
USA,APARTMENT INVEST & MGMT,,,,0.0,needs_review
USA,DEVELOPERS DIVERS REALTY,,,,0.0,needs_review
USA,FOREST CITY ENT. A,,,,0.0,needs_review
USA,GENWORTH FINANCIAL A,GNW,GENWORTH FINANCIAL INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,HUNTSMAN CORP,HUN,Huntsman CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,JANUS CAPITAL GROUP,,,,0.0,needs_review
USA,LAMAR ADVERTISING CO A,LAMR,LAMAR ADVERTISING CO/NEW,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,SL GREEN REALTY CORP,SLG,SL GREEN REALTY CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,COBALT INTERNATIONAL,,,,0.0,needs_review
USA,DONNELLEY (RR) & SONS,,,,0.0,needs_review
USA,ALKERMES,ALKS,Alkermes plc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ISIS PHARMACEUTICALS,,,,0.0,needs_review
USA,DENBURY RESOURCES,,,,0.0,needs_review
USA,HERBALIFE,HLF,HERBALIFE LTD.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
TAIWAN,WAN HAI LINES,,,,0.0,needs_review
TAIWAN,TSRC CORP,2103,TSRC,FinLab company_basic_info:英文簡稱,1.0,mapped_exact_normalized
USA,ATMOS ENERGY CORP,ATO,ATMOS ENERGY CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,MID-AMERICA APARTMENT,,,,0.0,needs_review
USA,MSCI,MSCI,MSCI Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,TECO ENERGY,,,,0.0,needs_review
USA,WASTE CONNECTIONS,WCN,"Waste Connections, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,WR GRACE & CO,,,,0.0,needs_review
USA,CHESAPEAKE ENERGY CORP,,,,0.0,needs_review
USA,ENERGEN CORP,,,,0.0,needs_review
USA,ENSCO A,,,,0.0,needs_review
USA,FIREEYE,,,,0.0,needs_review
USA,WHITING PETROLEUM,,,,0.0,needs_review
USA,ADVANCED MICRO DEVICES,AMD,ADVANCED MICRO DEVICES INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ENDO INTERNATIONAL,,,,0.0,needs_review
USA,ALTICE USA A,,,,0.0,needs_review
USA,KKR & CO,KKR,KKR & Co. Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ANTERO RESOURCES,AR,ANTERO RESOURCES Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,AIRBNB A,ABNB,"Airbnb, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,PLUG POWER,PLUG,PLUG POWER INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,PERRIGO,PRGO,PERRIGO Co plc,SEC company_tickers_exchange,1.0,mapped_exact_normalized
TAIWAN,NAN YA PRINTED CIRCUIT,,,,0.0,needs_review
TAIWAN,STANDARD FOODS CORP,,,,0.0,needs_review
USA,KIMCO REALTY CORP,KIM,KIMCO REALTY CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,OAK STREET HEALTH,,,,0.0,needs_review
TAIWAN,E INK HOLDINGS,,,,0.0,needs_review
TAIWAN,WISTRON CORP,3231,Wistron,FinLab company_basic_info:英文簡稱,1.0,mapped_exact_normalized
USA,AECOM,ACM,AECOM,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ATLASSIAN (US),TEAM,Atlassian Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,AXON ENTERPRISE,AXON,"AXON ENTERPRISE, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,GRACO,GGG,GRACO INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,RELIANCE STEEL & ALUM,,,,0.0,needs_review
USA,TORO CO,TTC,TORO CO,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,UNITED THERAPEUTICS CORP,UTHR,UNITED THERAPEUTICS Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,LINCOLN NATIONAL CORP,LNC,LINCOLN NATIONAL CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,LUMEN TECHNOLOGIES,LUMN,"Lumen Technologies, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,WESTERN UNION,WU,Western Union CO,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,APPLOVIN CORP A,APP,AppLovin Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,COREBRIDGE FINANCIAL,CRBG,"Corebridge Financial, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,SAMSARA A,IOT,Samsara Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,WILLIAMS-SONOMA,WSM,WILLIAMS SONOMA INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,LUCID GROUP A,LCID,"Lucid Group, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,VF CORP,,,,0.0,needs_review
USA,INTERACTIVE BKRS GRP A,,,,0.0,needs_review
USA,NATERA,NTRA,"Natera, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,REDDIT A,RDDT,"Reddit, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,UNITED AIRLINES HOLDINGS,UAL,"United Airlines Holdings, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,AES CORP,AES,AES CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,APA CORPORATION,APA,APA Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CELANESE CORP,CE,Celanese Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CHARLES RIVER LABS INTL,,,,0.0,needs_review
USA,ENPHASE ENERGY,ENPH,"Enphase Energy, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,HF SINCLAIR,DINO,HF Sinclair Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,HUNTINGTON INGALLS IND,,,,0.0,needs_review
USA,KNIGHT-SWIFT TRANSPORT,,,,0.0,needs_review
USA,LAMB WESTON HOLDINGS,LW,"Lamb Weston Holdings, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,MARKETAXESS HLDGS,,,,0.0,needs_review
USA,MATCH GROUP(NEW),MTCH,"Match Group, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,MOSAIC CO (THE),MOS,MOSAIC CO,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,QORVO,QRVO,"Qorvo, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,TELEFLEX,TFX,TELEFLEX INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
TAIWAN,ELITE MATERIAL CO,,,,0.0,needs_review
TAIWAN,LOTES CO,3533,LOTES,FinLab company_basic_info:英文簡稱,1.0,mapped_exact_normalized
TAIWAN,NANYA TECHNOLOGY,,,,0.0,needs_review
TAIWAN,WALSIN LIHWA CORP,,,,0.0,needs_review
USA,AST SPACEMOBILE A,ASTS,"AST SpaceMobile, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CASEYS GENERAL STORES,CASY,CASEYS GENERAL STORES INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,COHERENT CORP,COHR,COHERENT CORP.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CURTISS-WRIGHT CORP,CW,CURTISS WRIGHT CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,FTAI AVIATION,FTAI,FTAI Aviation Ltd.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,IREN,IREN,IREN Ltd,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,LUMENTUM HOLDINGS,LITE,Lumentum Holdings Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,REVOLUTION MEDICINES,RVMD,"Revolution Medicines, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ALEXANDRIA REAL ESTATE,,,,0.0,needs_review
USA,AMERICAN FINANCIAL GROUP,AFG,AMERICAN FINANCIAL GROUP INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,AMERICAN HOMES 4 RENT A,AMH,American Homes 4 Rent,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,BAXTER INTERNATIONAL,BAX,BAXTER INTERNATIONAL INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,BENTLEY SYSTEMS B,BSY,BENTLEY SYSTEMS INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,BOOZ ALLEN HAMILTON A,BAH,Booz Allen Hamilton Holding Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,BROWN-FORMAN CORP B,BF-A,BROWN FORMAN CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,BXP,BXP,"BXP, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,DOCUSIGN,DOCU,"DOCUSIGN, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,DYNATRACE,DT,"Dynatrace, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,EQUITY LIFESTYLE PPTYS,,,,0.0,needs_review
USA,ESSENTIAL UTILITIES,WTRG,"Essential Utilities, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,JM SMUCKER CO,,,,0.0,needs_review
USA,NUTANIX A,NTNX,"Nutanix, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,PAYCOM SOFTWARE,PAYC,"Paycom Software, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
TAIWAN,HONPRECISION,,,,0.0,needs_review
TAIWAN,CHENG SHIN RUBBER IND,,,,0.0,needs_review
TAIWAN,FENG TAY ENTERPRISE CO,,,,0.0,needs_review
TAIWAN,NIEN MADE ENTERPRISE CO,,,,0.0,needs_review
TAIWAN,CATCHER TECH CO,,,,0.0,needs_review
TAIWAN,CHENG UEI PRECISION IND,,,,0.0,needs_review
TAIWAN,COMPAL COMMUNICATIONS,,,,0.0,needs_review
TAIWAN,INVENTEC APPLIANCES,,,,0.0,needs_review
TAIWAN,NOVATEK MICROELECTRS,,,,0.0,needs_review
TAIWAN,PHOENIX PRECISION TECH,,,,0.0,needs_review
TAIWAN,ELITEGROUP COMPUTER SYS,,,,0.0,needs_review
TAIWAN,NIEN HSING TEXTILE CORP,,,,0.0,needs_review
TAIWAN,SHIHLIN ELECTR. & ENG,,,,0.0,needs_review
TAIWAN,SYSTEX CORP,6214,SYSTEX,FinLab company_basic_info:英文簡稱,1.0,mapped_exact_normalized
TAIWAN,TAIWAN STYRENE MONOMER,,,,0.0,needs_review
TAIWAN,EPISTAR CORP,,,,0.0,needs_review
TAIWAN,INOTERA MEMORIES,,,,0.0,needs_review
TAIWAN,KINSUS INTERCONNECT TECH,,,,0.0,needs_review
TAIWAN,MOSEL VITELIC,,,,0.0,needs_review
TAIWAN,MOTECH INDUSTRIES,,,,0.0,needs_review
TAIWAN,ACCTON TECHNOLOGY CORP,,,,0.0,needs_review
TAIWAN,GIANT MANUFACTURING CO.,,,,0.0,needs_review
TAIWAN,OPTIMAX TECHNOLOGY CORP,,,,0.0,needs_review
TAIWAN,PHOENIXTEC POWER CO,,,,0.0,needs_review
TAIWAN,NANYA TECHNOLOGY CORP,,,,0.0,needs_review
TAIWAN,POWERTECH TECHNOLOGY,,,,0.0,needs_review
TAIWAN,PRO MOS TECHNOLOGIES,,,,0.0,needs_review
TAIWAN,TRIPOD TECHNOLOGY CORP,,,,0.0,needs_review
TAIWAN,UNIMICRON TECHNOLOGY,,,,0.0,needs_review
TAIWAN,VANGUARD INT'L SEMICON,,,,0.0,needs_review
USA,AGCO CORP,AGCO,AGCO Corporation Common Stock,NasdaqTrader otherlisted,1.0,mapped_exact_normalized
USA,AK STEEL HOLDING CORP,,,,0.0,needs_review
USA,BERKSHIRE HATHAWAY B,BRK-B,BERKSHIRE HATHAWAY INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,BORGWARNER,BWA,BORGWARNER INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CABOT OIL & GAS CORP,,,,0.0,needs_review
USA,CF INDUSTRIES HOLDINGS,CF,"CF Industries Holdings, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CLEVELAND-CLIFFS,CLF,CLEVELAND-CLIFFS INC.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,FLOWSERVE CORP,FLS,FLOWSERVE CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,FOREST OIL,,,,0.0,needs_review
USA,HELMERICH & PAYNE,HP,"Helmerich & Payne, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,HORMEL FOODS CORP,HRL,Hormel Foods Corporation Common Stock,NasdaqTrader otherlisted,1.0,mapped_exact_normalized
USA,MDU RESOURCES GROUP,MDU,MDU RESOURCES GROUP INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ONEOK,OKE,ONEOK INC /NEW/,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,PRICELINE.COM,,,,0.0,needs_review
USA,QUICKSILVER RESOURCES,,,,0.0,needs_review
USA,SANDRIDGE ENERGY,SD,SANDRIDGE ENERGY INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,STEEL DYNAMICS,STLD,STEEL DYNAMICS INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,URBAN OUTFITTERS,URBN,URBAN OUTFITTERS INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,VMWARE A,,,,0.0,needs_review
USA,WHITE MOUNTAIN INSURANCE,,,,0.0,needs_review
USA,ADC TELECOMMUNICATIONS,,,,0.0,needs_review
USA,BEAR STEARNS COS,,,,0.0,needs_review
USA,BROADRIDGE FINANCIAL,,,,0.0,needs_review
USA,BROWN & BROWN,BRO,"BROWN & BROWN, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,BRUNSWICK CORP,BC,BRUNSWICK CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CAREER EDUCATION CORP,,,,0.0,needs_review
USA,CIT GROUP,,,,0.0,needs_review
USA,COLONIAL BANCGROUP,,,,0.0,needs_review
USA,COOPER COS,,,,0.0,needs_review
USA,FIRST HORIZON NATIONAL,,,,0.0,needs_review
USA,HANESBRANDS,,,,0.0,needs_review
USA,HARMAN INTERNATIONAL IND,,,,0.0,needs_review
USA,HEALTH MANAGEMENT ASSO.,,,,0.0,needs_review
USA,IDEARC,,,,0.0,needs_review
USA,ISTAR FINANCIAL,,,,0.0,needs_review
USA,LEAR CORP,LEA,LEAR CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,LINCARE HOLDINGS,,,,0.0,needs_review
USA,LIZ CLAIBORNE,,,,0.0,needs_review
USA,MASSEY ENERGY CO,,,,0.0,needs_review
USA,MCCLATCHY CO A,,,,0.0,needs_review
USA,NOVELLUS SYSTEMS,,,,0.0,needs_review
USA,PDL BIOPHARMA,,,,0.0,needs_review
USA,QLOGIC CORP,,,,0.0,needs_review
USA,RADIOSHACK CORP,,,,0.0,needs_review
USA,SANMINA - SCI CORP,,,,0.0,needs_review
USA,SMURFIT-STONE CONTAINER,,,,0.0,needs_review
USA,TCF FINANCIAL CORP,,,,0.0,needs_review
